region,prefecture,commune,canton,etab_nom,categorie,statut_simplifie,lat,lon
Maritime,Golfe,Golfe 5,Aflao-Gakli,BTCI Amadahome,Banque,Inconnu,6.203541360604255,1.1654270638510162
Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,FUCEC Togo Afagnan,Micro-Finance,Actif,6.4957666666666665,1.6271233333333333
Maritime,Zio,Zio 1,Abobo,Mutuelle Dignite Humaine,Mutuelle,Actif,6.266225,1.287165
Maritime,Zio,Zio 1,Abobo,Mutuelle Le Roc,Mutuelle,Actif,6.239534103539881,1.3728760724747089
Maritime,Golfe,Golfe 5,Aflao-Gakli,FUCEC-Togo,Micro-Finance,Actif,6.183478641263159,1.1690136321572586
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,CIF Assurance-vie,Assurance,Actif,6.206187504803494,1.1895305475058346
Maritime,Golfe,Golfe 6,Baguida,BTCI Baguida,Banque,Actif,6.167495664668762,1.3381952574322604
Maritime,Golfe,Golfe 5,Aflao-Gakli,Microfinance Millenium Totsi,Micro-Finance,Actif,6.197077790836492,1.1866806869108153
Maritime,Golfe,Golfe 5,Aflao-Gakli,BTCI Agbalepedogan,Banque,Inconnu,6.197624349044445,1.2007360347995677
Maritime,Zio,Zio 1,Djagblé,COOPAD Djagblé,Micro-Finance,Actif,6.254119620863774,1.282792090426032
Plateaux,Ogou,Ogou 1,Gnagna,SUNU Bank Yata,Banque,Inactif,7.519636195213213,1.1403786980788655
Maritime,Zio,Zio 1,Djagblé,Mutuelle Meci,Mutuelle,Actif,6.256053905261389,1.2835601090271076
Maritime,Golfe,Golfe 4,Amoutivé,Direction générale Siab Togo,Banque,Actif,6.123606099488691,1.22458742066699
Centrale,Blitta,Blitta 2,Agbandi,UCMECF To Point de Agbandji,Micro-Finance,Actif,8.227016666666666,1.1345633333333334
Centrale,Blitta,Blitta 1,Pagala-Gare,FUCEC Togo Agence Pagala,Micro-Finance,Actif,8.178073750269546,0.975405815075356
Maritime,Zio,Zio 1,Abobo,Mutuelle Le President Microfinance Sa,Mutuelle,Inconnu,6.270525,1.2919633333333334
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,FUCEC-togo Agence Vakpossito,Micro-Finance,Inconnu,6.218002102046497,1.1693257332827622
Maritime,Golfe,Golfe 5,Aflao-Gakli,UTB Agence Totsi,Banque,Actif,6.196495010626283,1.1875630239819002
Maritime,Zio,Zio 1,Djagblé,CECAV Gbama Kope,Micro-Finance,Actif,6.260861666666667,1.2635966666666665
Maritime,Golfe,Golfe 5,Aflao-Gakli,COOPEC Fidelite,Micro-Finance,Actif,6.175686110238065,1.1817190932930046
Maritime,Golfe,Golfe 5,Aflao-Gakli,Mutuelle ASJD Totsi,Mutuelle,Actif,6.1953512742015,1.1876890867899137
Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,CEC Tso Nakle,Mutuelle,Actif,6.494128333333333,1.6155766666666664
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Fidelia Assurance Agbalepedogan,Assurance,Actif,6.201101666666667,1.1955433333333334
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Fonds Communautaire Pour Le Developpement,Mutuelle,Actif,6.2190883839568425,1.1686083442527062
Maritime,Zio,Zio 1,Djagblé,COOPEC AD Djagblé,Micro-Finance,Actif,6.259451822949494,1.284241709987992
