annee,pct_population
1960,0.0
1965,0.0
1970,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.010929139
1997,0.211139465
1998,0.305583935
1999,0.590363264
2000,0.8
2001,0.9
2002,1.0
2003,1.2
2004,1.5
2005,1.8
2006,2.0
2007,2.2
2008,2.4
2009,2.6
2010,3.0
2011,3.5
2012,4.0
2013,4.5
2014,5.7
2015,7.12
2016,11.31
2017,12.3602
2018,15.5
2019,20.7273
2020,29.0237
2021,32.5051
2022,37.6212
